Date/Time,Open,High,Low,Close,Volume,Open Interest
2019-04-02,34.17,34.84,34.17,34.32,1354480,0
2019-04-03,34.62,35.22,34.32,35.22,1034100,0
2019-04-04,35.44,35.96,35.25,35.66,1716130,0
2019-04-05,35.66,35.74,35.4,35.66,615200,0
2019-04-06,,,,,0,0
2019-04-07,,,,,0,0
2019-04-08,35.55,35.81,35.4,35.66,452660,0
2019-04-09,35.66,36.19,35.29,35.29,1011680,0
2019-04-10,35.07,35.29,34.88,34.99,731100,0
2019-04-11,34.99,35.44,34.95,35.07,359910,0
2019-04-12,34.95,36.11,34.95,35.96,875090,0
2019-04-13,,,,,0,0
2019-04-14,,,,,0,0
2019-04-15,,,,,0,0
2019-04-16,35.44,35.96,35.44,35.74,907000,0
2019-04-17,36.04,36.93,35.96,36.19,1959530,0
2019-04-18,36.19,36.75,35.85,36.19,975930,0
2019-04-19,36.33,36.48,36.11,36.15,453980,0
2019-04-20,,,,,0,0
2019-04-21,,,,,0,0
2019-04-22,36.19,36.19,35.66,35.74,826090,0
2019-04-23,35.74,36.15,35.44,35.74,549400,0
2019-04-24,36.19,36.3,35.89,36.22,855130,0
2019-04-25,36.19,36.67,36.15,36.41,970660,0
2019-04-26,36.48,37.12,36.41,36.97,864950,0
2019-04-27,,,,,0,0
2019-04-28,,,,,0,0
2019-04-29,,,,,0,0
2019-04-30,,,,,0,0
2019-05-01,,,,,0,0
2019-05-02,37.16,37.45,37.04,37.19,885020,0
2019-05-03,37.23,37.3,37.01,37.3,1059570,0
2019-05-04,,,,,0,0
2019-05-05,,,,,0,0
2019-05-06,36.56,36.86,36.15,36.37,1455140,0
2019-05-07,36.63,37.08,36.6,37.08,1094880,0
2019-05-08,36.78,37.08,36.56,37.04,959020,0
2019-05-09,37.01,37.04,36.26,36.26,860940,0
2019-05-10,36.56,36.75,36.37,36.56,1027830,0
2019-05-11,,,,,0,0
2019-05-12,,,,,0,0
2019-05-13,36.56,37.16,36.56,36.93,850540,0
2019-05-14,36.89,37.9,36.63,37.45,1560830,0
2019-05-15,37.68,37.75,37.38,37.6,1539940,0
2019-05-16,37.6,37.83,37.04,37.04,1891290,0
2019-05-17,37.69,37.69,37.1,37.23,1487590,0
2019-05-18,,,,,0,0
2019-05-19,,,,,0,0
2019-05-20,37.27,37.94,37.27,37.9,1792130,0
2019-05-21,38.11,38.57,37.98,38.44,1016530,0
2019-05-22,38.44,38.65,37.9,37.9,1563650,0
2019-05-23,37.9,38.36,37.86,38.28,1267520,0
2019-05-24,38.11,38.49,37.9,38.19,1014750,0
2019-05-25,,,,,0,0
2019-05-26,,,,,0,0
2019-05-27,37.94,38.02,37.4,37.9,1261950,0
2019-05-28,37.69,38.02,37.48,37.56,518470,0
2019-05-29,37.56,37.56,36.85,36.94,1505300,0
2019-05-30,36.94,37.44,36.77,37.31,986450,0
2019-05-31,37.35,37.52,36.94,36.94,611860,0
2019-06-01,,,,,0,0
2019-06-02,,,,,0,0
2019-06-03,36.85,36.94,36.43,36.43,881810,0
2019-06-04,36.43,36.6,36.22,36.27,537160,0
2019-06-05,36.43,36.77,36.43,36.52,500100,0
2019-06-06,36.68,37.44,36.52,37.27,922740,0
2019-06-07,37.52,37.9,37.44,37.86,1304680,0
2019-06-08,,,,,0,0
2019-06-09,,,,,0,0
2019-06-10,38.11,38.28,37.52,37.77,1227340,0
2019-06-11,37.77,38.19,37.61,37.86,1296500,0
2019-06-12,37.86,38.19,37.69,37.73,1284520,0
2019-06-13,37.73,37.77,37.27,37.31,856270,0
2019-06-14,37.35,37.61,37.19,37.19,559800,0
2019-06-15,,,,,0,0
2019-06-16,,,,,0,0
2019-06-17,36.94,37.27,36.77,36.89,1013550,0
2019-06-18,37.15,37.23,36.64,36.89,763680,0
2019-06-19,37.1,37.44,37.02,37.4,530820,0
2019-06-20,37.56,38.02,37.4,38.02,1356030,0
2019-06-21,38.11,38.19,37.9,38.02,872460,0
2019-06-22,,,,,0,0
2019-06-23,,,,,0,0
2019-06-24,38.02,38.07,37.82,37.82,726160,0
2019-06-25,37.69,38.99,37.52,38.95,3269450,0
2019-06-26,38.95,38.95,38.61,38.65,1014470,0
2019-06-27,38.61,38.61,37.94,38.02,1221860,0
2019-06-28,37.98,38.53,37.61,38.11,2479220,0
2019-06-29,,,,,0,0
2019-06-30,,,,,0,0
2019-07-01,38.53,39.45,38.44,39.45,2551280,0
2019-07-02,39.36,39.78,39.07,39.28,1600280,0
2019-07-03,39.11,39.28,38.99,39.2,1275860,0
2019-07-04,39.36,39.53,39.2,39.32,1275800,0
2019-07-05,39.2,39.36,38.86,39.03,1137770,0
2019-07-06,,,,,0,0
2019-07-07,,,,,0,0
